user_id,name,catchPhrase,bs
1,Romaguera-Crona,Multi-layered client-server neural-net,harness real-time e-markets
1,Romaguera-Crona,Multi-layered client-server neural-net,harness real-time e-markets
1,Romaguera-Crona,Multi-layered client-server neural-net,harness real-time e-markets
2,Deckow-Crist,Proactive didactic contingency,synergize scalable supply-chains
2,Deckow-Crist,Proactive didactic contingency,synergize scalable supply-chains
2,Deckow-Crist,Proactive didactic contingency,synergize scalable supply-chains
3,Romaguera-Jacobson,Face to face bifurcated interface,e-enable strategic applications
3,Romaguera-Jacobson,Face to face bifurcated interface,e-enable strategic applications
3,Romaguera-Jacobson,Face to face bifurcated interface,e-enable strategic applications
4,Robel-Corkery,Multi-tiered zero tolerance productivity,transition cutting-edge web services
4,Robel-Corkery,Multi-tiered zero tolerance productivity,transition cutting-edge web services
4,Robel-Corkery,Multi-tiered zero tolerance productivity,transition cutting-edge web services
5,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems
5,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems
5,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems
6,Considine-Lockman,Synchronised bottom-line interface,e-enable innovative applications
6,Considine-Lockman,Synchronised bottom-line interface,e-enable innovative applications
6,Considine-Lockman,Synchronised bottom-line interface,e-enable innovative applications
7,Johns Group,Configurable multimedia task-force,generate enterprise e-tailers
7,Johns Group,Configurable multimedia task-force,generate enterprise e-tailers
7,Johns Group,Configurable multimedia task-force,generate enterprise e-tailers
8,Abernathy Group,Implemented secondary concept,e-enable extensible e-tailers
8,Abernathy Group,Implemented secondary concept,e-enable extensible e-tailers
8,Abernathy Group,Implemented secondary concept,e-enable extensible e-tailers
9,Yost and Sons,Switchable contextually-based project,aggregate real-time technologies
9,Yost and Sons,Switchable contextually-based project,aggregate real-time technologies
9,Yost and Sons,Switchable contextually-based project,aggregate real-time technologies
10,Hoeger LLC,Centralized empowering task-force,target end-to-end models
10,Hoeger LLC,Centralized empowering task-force,target end-to-end models
10,Hoeger LLC,Centralized empowering task-force,target end-to-end models
